,ProductId,UserId,ProfileName,Time,Summary,Text
14,B001TZL6ZS,A1P6IZUKVV71EO,"Brewster ""Taster""",1246233600,Baconaise Lite ok,"We wanted the Baconnaise lite after seeing the product on Oprah. We looked forward eagerly to the  prospect of that great bacon taste. The decision in our house was 1 for and 1 not so.<br />The taste is there, the ""greasy"" taste was also. I won't buy the product again."
15,B0089SPDUW,A2TJG4N8LNJW23,Blythe Dresser,1327104000,Smooth and tasty and an absolute dream come true for those who enjoy bold dark roasts...,"Although I've only been able to try three of Caribou's k cup blends (Mahogany as well as <a href=""http://www.amazon.com/gp/product/B00474OR8G"">Caribou Coffee, Caribou Blend, K-Cup Portion Pack for Keurig K-Cup Brewers, 24-Count</a> and <a href=""http://www.amazon.com/gp/product/B00474VPLI"">Caribou Coffee, Daybreak Morning Blend, K-Cup Portion Pack for Keurig K-Cup Brewers, 24-Count</a>), I've found that Caribou consistently produces the highest quality k cups.  They are head and shoulders above their competitors like Green Mountain and Van Houtte.<br /><br />I should mention that Caribou's Daybreak blend is far and away my favorite k cup flavor of the 20 or so I've been able to sample so far.  But I enjoy a flavorful medium roast.  My boyfriend, on the other hand, prefers an extra bold dark roast.  After our favorable experience with the Caribou brand before, we picked up a box of this coffee and hoped that it would be a great choice for a dark blend.<br /><br />Let me just say that Mahogany is full of smokey delicious flavor.  It's quite strong and dark, but there is no rancid bitterness or acidity that accompanies a lot of the dark roasts.  This coffee packs a powerful punch.  Although that isn't normally my thing, I can enjoy a cup of this with milk and a bit of sweetener.  My boyfriend adores it, though, and it has become a staple blend for him.  I will still drink this on occasion, but it's a bit too potent for me.<br /><br />I think this is the best dark roast I've had the chance to try."
16,B000FFQ4FK,AIJXHOZUJDEEO,Thomas P. Ohara,1177891200,1st rate from someone who knows better,"This will be a short review (for me).<br /><br />I am somewhat of a tea connoisseur, so for me to give a tea 5 stars... well this is a first for me in an Amazon review.<br /><br />Like other reviews of this product, it is a beautiful delight to watch this hand sewn tea unfold in the pot; delicate, thin first flush leaves surround a beautiful red center of hibiscus.  The liquor is a light honey color, and the apricot overtones are pronounced on the palate.<br /><br />I would recommend this tea for anyone who enjoys green (or white)teas; wants to become more familiar with them, or as a gift for someone."
17,B000E8Y5CC,A18BUMQUB2SREJ,MPG,1265673600,Awesome Tea!,"This is the same tea they serve at PF Chang's.<br />If you like tea, you must try this, 5 star tea, excellent!"
18,B001HTIES8,A18OUQEK7IZ2F2,"Jason Kirkfield ""The Pride and Sorrow of chil...",1264982400,Those Red Hot Blues are one bad mutha...,"You watch your mouth!<br /><br />Simply, one of the best things I have ever eaten. Healthy organic blue corn chips with taste that packs a punch.<br /><br />I won't waste your time reading about these when you can be enjoying them instead. Just note that some bags seem to have a more generous allotment of cayenne pepper (the special ingredient that distinguishes Red Hot Blues from the standard Blue Chips). Or perhaps certain bags settle more during shipment, in which case the bulk of the cayenne dust is to be found at the bottom of the bag. You can always scoop up the loose seasoning and sprinkle on the chips (or any food! LOL) as you see fit.<br /><br />P.S. Amazon needs to figure out how to share reviews across products. In this case, for example, there are at least four different listings for Red Hot Blues. The only difference is the size of the bag or the quantity of bags that are bundled together. I am posting this review in those as well because other than one listing, none of the others have any reviews. Hopefully this will be of some help to customers, plus point them toward the main listing (the one with Free Shipping and sold directly from Amazon!).<br /><br /><a href=""http://www.amazon.com/gp/product/B000EQYW0E"">Garden of Eatin'® Tortilla Chips Red Hot Blues, 9-Ounce Bags (Pack of 12)</a>"
19,B005WU7V00,A3UV9TOZW3XXPV,tacoland,1336521600,VERY GOOD! Great taste and easy for a single guy!,"I was surprised about how good this was my family and friends laughed when I told them I bought this. But out of the can ready mix with a little salt, pepper, spinach, and some cheese and it's a great easy meal!"
20,B000EUJLHE,A2JNTIXY35X5GI,SassySassy1,1285977600,Lives up to it's Name!,"Wasa has a great line of 'crackers', but these have become my favorite. They are light but not wimpy. Their flavor is fairly neutral so they don't conflict with whatever you choose to put on them. And for me, the calorie count was the final winner...only 20 calories per cracker and low sodium. A winner all the way around and Amazon has the absolute best price!"
21,B000VK6NDC,A2ZJG62OLDCYAY,KM,1255651200,"Good value, cats don't like it","I really wanted this food to work, as it seems to have good ingredients for a decent price.  However, my cats, who are typically ravenous little mongrels, don't even bother to check it out when offered.  So much for saving a couple of bucks--now they eat Organix."
22,B003VXFK44,AJZ41FI5FK2CH,C. LaRue,1300665600,What a waste of money!,"Unfortunately, I'm much too frugal to throw away something I've spent perfectly good money on, so I'm continuing to use these suckers until they're gone (hopefully in a few weeks). I thought I was buying a decent brand of coffee, given the Wolfgang Puck name, but alas, I was wrong. Using the middle cup size on my Keurig coffeemaker, these k-cups make a weak cup of coffee... more like brown water. No taste, no nothing. I switched to the smallest size cup and it's marginally better, but still barely drinkable. I wouldn't serve these to guests EVER. I can't wait to be done with these boxes of junk so I can order something with some taste. Please don't waste your money."
23,B003DIIZ9O,A3QOSXPPU62FJ0,Migda,1299715200,MY PUPPIES LOVE THESE TREATS!!!,"I HAVE SO MUCH FUN WATCHING MY PUPPIES ASKING FOR THIS CHICKEN TREATS. THEY GO CRAZY WHEN I SHOW THEM THE BLUE PACKAGE. THESE TREATS ARE SMALL, EASY TO EAT AND DOES NOT HAVE A BAD SMELL. I RECOMMEND IT, YOUR PUPPIES WILL BE HAPPY."
24,B000BXUVYG,A2A3P2A724D65,"R.Y. ""R.Y.""",1225929600,Makes Some Cats Vomit,"You know, I was searching the Internet for the words ""temptations"" and ""vomit"" when I came across these reviews.  I was surprised to hear that I'm not the only one who has had problems with this product.  Within an hour of eating these treats my cat vomits for about 40 minutes.  I didn't realize it was the cause until the second time I fed them to her.  It's really bad because it doesn't cause the cat to throw up all at once.  It's like she can just vomit a little at a time and you're forced to follow her around cleaning up all the vomit ((or locking her in the bathroom (which is horrible))."
25,B001VIY9KW,AJGOF4W50ZNB4,je2u,1285459200,Great Product!,"My dogs love this food & do well on it,the quality & price are decent for the Royal Canin brand. The kibble is small enough for smaller breeds. I recommend this if you can't afford the pricier ""breed specific"" formulas. I hope Amazon can keep this size on hand for the price with free shipping. I will definately keep buying it!"
26,B004SFNFEG,A1ONT5BHMPV111,The South Face,1316044800,Wow! Really good!,"Imagine if you made a craisin out of a berry that tasted like a lemon instead of cranberry. These are very tart, which I love. I eat whole lemons so tart is fine by me. These are not super sweet either, which is refreshing."
27,B001LG945O,A2BCDZO1XQLDH,R. Lanthier,1235606400,A good option...,"I enjoyed this drink. It has good fizz and flavor. Ingredients include apple/grade juices as the main fruit elements. Tangerine, orange and acerola (type of wild cherry) round out the other fruit juices. For my taste, this is not citrusy enough. I find an Orangina to have better flavor, but it is loaded with added sugars (high fructose corn syrup is the second ingredient in Orangina)! I also compare this to the Izze version and the Izze wins for flavor. I think the health benefits of The Switch or Izze drinks outweigh the flavor differences though, and if I was but one of these types of drinks, I would not look at Orangina again."
28,B0018ATXEU,A1KJ2VZNTWPIUO,Shalonda Stinson,1300147200,Just OK,"I thought this would be the perfect candybar, I love hazel nuts, I love caramel, and I love chocolate.  But there is something about the chocolate filling that I don't like.<br />  they claim a whole hazel nut in each piece, but it's probably only half.  It's an OK candy, but I will never ever buy it again. I'll stick to Snickers with almonds!"
29,B003OZYUEA,A2SLQADUE0AUE2,David R. Poage,1297382400,just water-nothing more,"Somehow my previous review got deleted. I live in Houston, TX. I buy lots of bottled water-cannot tell any difference between a bottle of Talking Rain and a glass of cold tap water."
30,B0018LHYCM,A2F9I7CI9GWANO,Import Exec,1340323200,Surprisingly Good--Unbelievable On Barbecue,"Taylor's Market Rules!!!  This product surprised me, even though I've been using Pepper Plant sauces for over 20 years.  I got my first bottle of this seasoning and couldn't believe what it did to the barbecued steaks.  My wife likes it even more than I do, which is totally unexpected.  There's no way we'll run out of it."
31,B001E4Q5WI,A2KHJ62CQN0HUX,Whitney,1325289600,"Yummy, but hard to spread...","I like creamy peanut butter, however this is hard to spread because part of the oils are kept out to make it reduced fat. Kinda makes for a messy sandwich."
32,B0045XE32E,A31HE83MU98GBV,Gadget Girl,1303948800,Our dog loves these!,"Our lab/border collie mix is a big fan of these treats!  Of course, dogs are a fan of most treats, but these did not cost any 'ill' side effects / digestion problems.  I will definitely purchase more!"
33,B000BSWIQA,A2D1LPEUCTNT8X,Ali Julia,1313798400,Very disappointed.  This is  a very sweet jelly with an odd texture,"I love lemon marmalade.  They are hard to find, and in the last few years I could not find any in the stores so I decided to buy this Lemon marmalade without being able to look at it closely.  I am attaching a couple of pictures so you can see the content not just the label.<br /><br />I was looking forward to getting it so much. When the box arrived I opened it and tried the marmalade right away... but it was a huge disappointment.  First, it is no a true marmalade it is a jelly. I am attaching two pictures where you can see maybe a couple of lemon zest strips in the entire 454 gram (16 oz).  Second the jelly is soooo very sweet. There is not enough tartness I expected from a lemon marmalade. Third it had a weird texture, it left what I would describe as an oily feel in my mouth unlike any other jelly I have tried.<br /><br />List of ingredients:<br />Sugar 62g per 100g<br />Glucose-fructose syrup<br />Lemons<br />Gelling Agent: Pectin, Citric Acid<br />Acidity Regulator:Sodium Citrate<br />Flavoring: Lemon Oil<br />Color:Caramel E150C<br /><br /> Price with shipping slightly over $11.<br /><br />I eat a lot of different jams. I like having jam with my tea.  I will not be able to eat this jelly with my tea because I really did not like so many things about it. I will try cooking with it, maybe it will work on a chicken as a sauce.  I am so disappointed!<br /><br />8/22/11 Update<br />Normally I would not comment on a specific seller on a product review, but I think in this case it is relevant.<br />Enclosed with the marmalade was FoodIreland 100% satisfaction guarantee flyer with a contact email.  I contacted them over the weekend letting them know I was disappointed in the product. On Monday I received a notification of a full refund.  So if you like jellies the stellar customer service removes the risk of giving it a try."
34,B002BRC562,A3GZZ7O20BZQ94,Keogh,1344816000,Skip this if you don't want to Bonk!,"I am a huge fan of Stinger products. However, these little gummy gels do nothing as compared to the Stinger Honey Packs. If you are a road or mountain biker and need a good burst of quick energy to keep from bonking on that last hill, these will not help. In fact, the only benefit that I (or any of my riding buddies) have found is that they make your mouth water. Conceivably, this could help with water consumption when riding through the desert (Moab, Fruita). It is my guess that these are not intended for exercising. Maybe, people just use them at work to keep from eating Starburst or something less healthy?!"
35,B007TJGZ54,A10R3X8VV4Z2O6,Capeseaglass,1302307200,Green Mountain Breakfast Blend K-cups,I buy K-cups all the time and it was nice to buy a double pack for less money than I would have paid in the store. The breakfast blend is not a bold coffee. Being rather mellow and not bitter and with no after taste. If you are looking for a mild tasting coffee this would be a good choice.
36,B003LVWFRQ,A1JQPZT10RMDSX,"Jenelle Ford ""Just-B-N-Me""",1283126400,Very tasty!,These beans were really very good.  Added a ham slice while cooking and came out great.  Each time I've made the soup it's be consistently yummy!
37,B001872UAW,AB40WVSRCYLNJ,NilZilch,1275955200,An Outstanding Soup Sensation,"First, I agree with J. Bishop's (Houston, TX) review.<br /><br />This is not only the best flavor of the Healthy Choice soup line, it is clearly among the best canned soup flavors of all time.<br /><br />Healthy Choice is the only brand of canned soup I buy on any regular basis.  It's the only brand that has never used MSG--a sure sign that a recipe lacks imagination (not too mention sodium issues).<br /><br />I really wish I could buy quantities of this in the microwave packaging (hard to find in stores)... a lifetime supply would do nicely."
38,B001BIXK7K,AUAMKFDRU3HH8,Jay H.,1276560000,final answer,The bottle is tiny but it will go a long way!  All you need is a tiny drop on a toothpick to spice up your plate.
39,B003OZYUEA,AR7TAEEUDHMUB,Kathryn S. Leon,1299110400,Delicioius Water I Didn't Have To Carry In,"To the gentleman who reviewed this and said ""just go to the store and get better,"" well, I'm disabled and the disability van only allows us two packages to carry...can you see me carrying two big cases of water home?  I think not.<br /><br />This is wonderful water.  Sure, you could get it on sale at a better price, and if you can drive or have someone to drive you and carry it in, please do so, but for me it is a sweet deal.  I ordered six cases and watched the UPS guy set them inside the door for me.  I have nothing to complain about.  If the price is right for you, with all considered, you won't go wrong here."
40,B0009JMW1C,A380HU2H8OY9ID,Teresa J. Molinaro,1167782400,Sinus Help,"I found this tea by accident but it worked so well that i later ordered it,<br /><br />after not being able to find it again.  It really helps open nasal passages.<br /><br />Since starting to use it whenever I have bad nasal congestion, I have not<br /><br />had a sinus infection.  Everyone is different, but it sure worked for me."
41,B0030VBRIU,A2HZHNQHJOFQBW,SWN,1330041600,WARNING RECIPE CHANGED AS OF FEBRUARY 2012,"My daughter absolutely used to love the original version of the Chick Chick baby food (with Chicken, Sweet Potatoes, and Brown Rice). Unfortunately, the recipe has apparently just been updated (though not reflected on Amazon's page as of 2/24/2012) to include totally different ingredients (except for the chicken). Now my daughter absolutely refuses to eat this product. The consistency and flavor seem to have drastically changed. Hopefully your child will enjoy the new blend, but I wanted to provide a warning for those of you that may have tried the other version..."
42,B007F96QQQ,A3TXK9O5IP3CWQ,Evelyn,1339804800,Delicious,"These biscuits are delicious, not too sweet, with just enough crunch.  We love them.  Quick delivery. We would order them again.  Very satisfied."
43,B0000CERHH,A29VLI9PBSO927,Von,1340755200,Love this tea!,"I am hooked on it.  It's just wonderful.  Highly recommended for taste and flavor and price.  I've tried different teas from different restaurants and tea houses, but I just love this one for home.  I use it nearly every day.  Will be trying more of these teas in the future."
44,B000143ZK2,A2KLLY4AL5PTYE,"Laurel in Whittier, CA",1222560000,my favorite prize for students,"Grandpa Po's Originals are my students' favorite prize for the classroom. Our school district has banned junk food for incentives for kids so Grandpa Po's is a perfect fit. The kids get a bag when they complete all of their assignments for the month. They love the snack and they work hard to get all their work done. Their parents love the reward too and many students come back to buy more to take home to the family. Thanks, Grandpa Po for your ""better than food"" snack!"
45,B00060PTLO,A2ZXWKYIOTGB4I,W. Alao,1324080000,"for those that drink ""fresh ground only""","I used to work at that well known coffee shop so I've become a bit of a coffee snob and I never drink instant, but if you are looking for a really robust instant coffee that dissolves in cold or hot water and goes great with a little chocolate syrup and cream you'll enjoy Medaglia d'Oro, I bought it during a run to the store for a few dollars cheaper than I can find it online, and much cheaper than a 3/4 lb bag they sell in the groceries stores."
46,B000H227BG,A1HSNWH75NMFZ2,Bill Kienzel,1257033600,Recipe: Hot Choc for Grown-Ups,"Heat 8-10 oz 2% or whole milk, not quite to boiling, in your microwave. Add ~1-1/4 rounded teaspoons of Ghirardelli Mocha Hot Choc powder + ~1-1/8 rounded teaspoons of Ghirardelli Hazelnut Hot choc powder, stirring to fully mix. Now add ~3/4 oz Christian Brothers VS Brandy. (Optionally) garnish with whipped cream or a small accent of vanilla ice cream and serve.<br />Notes: Not to be a brand whore, but Christian Bros (VS, not the more expensive VSOP) is the only brandy I've found to really have the right profile for this recipe. Exact proportions for all 4 ingredients should ultimately be to your own taste. Non-fat and 1% milk are NOT recommended. The brandy should contribute its flavor but not be so strong as to have an obvious alcoholic note. I've for many years used a 1.0 Mocha + 1.5 Hazelnut ratio, but lately the Mocha product hasn't seemed as intense, so I've adjusted. You'll know it's right when the mocha + hazelnut + brandy flavors are in such balance that none is too dominant -- the result will be a new experience ""greater than the sum of its parts."""
47,B004391DK0,AOK57RN8TE13K,justamom35,1312934400,Didn't think it would be good...but it is! GREAT!!,"My daughter has been GF for about 4 years now. We have discovered that if the main ingredient is rice flour, it usually isn't any good. It is usually grainy. This isn't the case with this product. It makes fantastic pancakes (the rest of the family would eat them). She didn't like the biscuits so we won't make those again.  We used it to make corn dogs and the entire family (and a friend) ate them. No one even noticed. Everyone LOVED them.<br /><br />Amazon has since taken this off of the Subscribe and Save. I am so mad. I hope they put it back on soon."
48,B004P4TL8E,ABQC41UU0XF33,"M. M. Dobrick ""inquiring mind""",1313280000,Save counter space,"I was ready to buy one of the carousel type k-cup storage devices when I saw this one.<br />It is a bit exepnsive, but it preserves counter space and keeps the k-cups right there.<br />I also use it to store the EZ cup reusable system."
49,B0040PYMDC,A37NNC4NMVMR4S,J. Mulrooney,1298419200,OK BUT NOT GREAT,"THESE PEACHES ARE NOT AS TASTEY AS I HAD HOPED. LACKS MUCH FLAVOR BUT THEY ARE JUST OK. I LIKE THAT THERE'S NO SUGAR ADDED SO THEY ARE BETTER FOR ME, BUT THERE'S JUST NOT A LOT OF TASTE TO THEM. PROBABLY WON'T REORDER."
50,B001HTE5HM,A92AO1YVNHHF6,Hazel,1346630400,"Tasty, healthy snack","Sticks and Twigs may seem a little pricey compared to regular pretzels, but the bag lasts a long time and the ingredients, like flax seeds, quinoa, chia seeds and curry, are good for you. They are very crunchy, but tasty. For some added protein, I like to dip them in peanut butter."
51,B001RVFDOO,A2DHP3JHQ6W9OF,Tamm G,1329350400,2 POINTS PLUS  on Weight Watchers,"I have been on weight watcher's for about 13 months.  I have lost 60 pounds.  The most important part to being on weight watchers is too find food items that let you feel like your not giving anything up.  Popchips do that for me.  They are only 2 points plus on weight watcher's.  They go great with every meal (salad,soup,sandwich,etc). I can not live without them.  So i say BUY BUY BUY AND BUY"
52,B001EW5YQS,A1SZUPMDG6BFXX,penname,1338163200,worked for me,This product has worked since the first day I have had it. Tremendous buy for me. I needed my mic to go directly into the computer. Thanks.
53,B0000GH6UQ,AB205ZGIYEKWV,madonn a,1322524800,Like mom's...but better,"This is NOT hot chocolate in the classic sense. This is a hot, chocolate beverage not to be wasted on young children or adults lacking taste buds. You have to be someone that really ENJOYS flavors, textures, etc. to get the difference or you might as well stir up some swiss miss."
54,B000G7M4U6,ASXUO8NYCVZP3,C. Patane,1169078400,Great Deal,Ordered these seeds for a recipe that I got from my grandmother. Seeds came very quickly and well packaged. Much cheaper than buying all those small bottles at the grocery store. Would definatly use this company again.
55,B000X2CWTM,A25QO2MR2XS67P,Michael,1344902400,Panda licorice,Panda licorice is great. It is always received fresh and is much better tasting than the Red Vines or Twizzler brands.  I highly recommend a standing order (approximately every 3 months) which reduces the overall price per box.<br />  Amazon is a very reliable and communicative mail order company. ALOHA!
56,B001EQ5EQE,A1L1EHTU11S50F,"Lorenzo Fabris ""LF""",1211068800,Perfect espresso,"This is simply the best decaf for making espresso money can buy. At a fraction of the cost, this coffee beats everything else out there, including Illy. Try also the regular variety and ""crema e gusto"". They are all well worth the money. Note: this coffee should be used only for making espresso. Of course, you have to know what you are doing as well."
57,B00166D8TW,AS3IE5GWHMRSF,"A. Williford ""ExSoyCise""",1306108800,It's good once you doctor it up a little bit!,"I use this as a whey/soy protein alternative. I am allergic to soy and have sensitivity to whey and this product seems to be free of both. I actually haven't used it as a shake, but I use it to make protein pancakes. I find I have to add extra cocoa powder to make it more chocolatey and stevia to make it more sweet. At first I came out with some really awful pancakes, but after I found the perfect ingredients to doctor it up, they all come out amazing!!! So if your looking for an alternative to whey and soy, I definitely think this is a good choice!"
58,B0045XE32E,A27X7XXOKMK879,"Irishman65 ""irishman65""",1298592000,Unattractive but Terrific Treat For Pets,"The Newman's Own Organics Ranch Style Dog Treats are pretty plain - a brown rectangle (the kids call them ugly), compared to the other dog treats we've purchased at the supermarket.  But the real consumer of this product are the dogs and they love them.  We have two large mixed breeds and one is more finicky than the other (think of them as the Oscar and Felix of the dog world) and they both enjoy these treats (though the treats are small for 60+ pound dogs).  The treats are sized for medium sized dogs (you can always give bigger dogs two) and the nice feature that I like is they come in a rectangle that has a line division down the middle that can be used to break the treat in half if you have a smaller dog.  So while, they won't be winning any awards for attractiveness, they are organic without unneeded additives and the dogs appreciate them as a reward for a job well done or just a treat for being the wonderful pets that they are."
59,B001E5DZTS,AFJ7A9CSEPZNY,B. Vega,1171238400,Great price,"After shopping around, this is by far the best deal on powdered goat's milk."
60,B001LG945O,A3FBMSWBJ202SF,amazon's fan,1236038400,Good taste but high in calorie,"The can size is like a Redbull drink's.  However, its sugar content is 34 grams.  Attached is a photo of the nutrional facts.<br /><br />In terms of its taste, in my opinion, it's quite tasty, sweet, a bit tangy and very orangish!"
61,B001E5E20O,A3G3LB96QB9O7V,R,1298332800,Great Black tea with Bergamot oil (earl grey tea),"Very nice Tea.<br />I enjoy an Earl Grey that has a strong aroma and taste of Bergamot oil (the citrus flavor added)<br />Others are good, but this one is great."
